     PID         DATE      TIME      ELAPSED    CPU    MEM       RSS     VSIZE
   21345   2015-02-28  21:32:43        00:03   20.2    1.3    216536   4533364
   21345   2015-02-28  21:32:44        00:04    1.9    1.3    216552   4533364
   21345   2015-02-28  21:32:45        00:05    1.2    1.3    216552   4533364
   21345   2015-02-28  21:32:46        00:06    1.0    1.3    216560   4533364
   21345   2015-02-28  21:32:47        00:07    1.0    1.3    216560   4533364
   21345   2015-02-28  21:32:48        00:08    2.2    1.3    216572   4533364
   21345   2015-02-28  21:32:49        00:09    1.6    1.3    216592   4533364
   21345   2015-02-28  21:32:50        00:10    0.5    1.3    216592   4533364
   21345   2015-02-28  21:32:51        00:11    0.3    1.3    216560   4531792
   21345   2015-02-28  21:32:52        00:12    0.9    1.3    217256   4531792
   21345   2015-02-28  21:32:53        00:13    0.5    1.3    217268   4531792
   21345   2015-02-28  21:32:54        00:14    0.9    1.3    217288   4531792
   21345   2015-02-28  21:32:55        00:15    0.5    1.3    217296   4531792
   21345   2015-02-28  21:32:56        00:16    0.6    1.3    217296   4531792
   21345   2015-02-28  21:32:57        00:17  263.8    1.4    236576   4562636
   21345   2015-02-28  21:32:58        00:18   74.2    1.7    286104   4595116
   21425   2015-02-28  21:32:58        00:00   22.6    0.2     40164   6086300
   21345   2015-02-28  21:32:59        00:19    2.3    1.7    286136   4595116
   21425   2015-02-28  21:32:59        00:01   24.5    0.5     89892   6102172
   21345   2015-02-28  21:33:00        00:20    1.9    1.7    286188   4596140
   21425   2015-02-28  21:33:00        00:02    0.4    0.5     89908   6102172
   21345   2015-02-28  21:33:01        00:21    3.5    1.7    286256   4596140
   21425   2015-02-28  21:33:01        00:03    0.0    0.5     89908   6102172
   21345   2015-02-28  21:33:02        00:22    1.8    1.7    286292   4596140
   21425   2015-02-28  21:33:02        00:04    0.0    0.5     89912   6102172
   21345   2015-02-28  21:33:03        00:23    2.4    1.7    286324   4596140
   21425   2015-02-28  21:33:03        00:05    0.0    0.5     89916   6102172
   21345   2015-02-28  21:33:04        00:24    3.3    1.7    286384   4596140
   21425   2015-02-28  21:33:04        00:06    0.0    0.5     89916   6102172
   21345   2015-02-28  21:33:06        00:26    1.6    1.7    286384   4596140
   21425   2015-02-28  21:33:06        00:08    0.0    0.5     89916   6102172
   21345   2015-02-28  21:33:07        00:27    1.5    1.7    286400   4596140
   21425   2015-02-28  21:33:07        00:09    0.0    0.5     89928   6102172
   21345   2015-02-28  21:33:08        00:28    1.4    1.7    286412   4596140
   21425   2015-02-28  21:33:08        00:10    0.0    0.5     89928   6102172
   21345   2015-02-28  21:33:09        00:29    1.5    1.7    286420   4596140
   21425   2015-02-28  21:33:09        00:11    0.0    0.5     89896   6100600
   21345   2015-02-28  21:33:10        00:30    3.2    1.7    286560   4596140
   21425   2015-02-28  21:33:10        00:12    0.0    0.5     89896   6100600
   21345   2015-02-28  21:33:11        00:31    3.9    1.7    286640   4596140
   21425   2015-02-28  21:33:11        00:13    0.0    0.5     89896   6100600
   21345   2015-02-28  21:33:12        00:32    1.9    1.7    286696   4596140
   21425   2015-02-28  21:33:12        00:14    0.0    0.5     89896   6100600
   21345   2015-02-28  21:33:13        00:33    3.2    1.7    286768   4596140
   21425   2015-02-28  21:33:13        00:15    0.0    0.5     89896   6100600
   21345   2015-02-28  21:33:14        00:34    1.2    1.7    286804   4596140
   21425   2015-02-28  21:33:14        00:16    0.0    0.5     89896   6100600
   21345   2015-02-28  21:33:15        00:35   25.5    1.7    288096   4596140
   21425   2015-02-28  21:33:15        00:17  198.9    1.5    249620   6169408
   21345   2015-02-28  21:33:16        00:36    2.3    1.7    290080   4603392
   21425   2015-02-28  21:33:16        00:18  643.3    3.0    502008   6203312
   21345   2015-02-28  21:33:17        00:37    1.1    1.7    290124   4603392
   21425   2015-02-28  21:33:17        00:19  422.6    4.7    786328   6203312
   21345   2015-02-28  21:33:18        00:38    1.7    1.7    290296   4604428
   21425   2015-02-28  21:33:18        00:20  435.1    5.5    925424   6204348
   21345   2015-02-28  21:33:19        00:39    0.7    1.7    290376   4604428
   21425   2015-02-28  21:33:19        00:21  670.4    5.8    973076   6222828
   21345   2015-02-28  21:33:20        00:40    5.8    1.7    291624   4610644
   21425   2015-02-28  21:33:20        00:22  429.3    6.2   1034192   6220348
   21345   2015-02-28  21:33:21        00:41    0.6    1.7    291624   4610644
   21425   2015-02-28  21:33:21        00:23  413.0    6.6   1113732   6220348
   21345   2015-02-28  21:33:22        00:42    1.0    1.7    291648   4610644
   21425   2015-02-28  21:33:22        00:24  431.4    6.9   1151708   6220348
   21345   2015-02-28  21:33:23        00:43    4.0    1.7    291968   4610644
   21425   2015-02-28  21:33:23        00:25  417.2    7.2   1214388   6221384
   21345   2015-02-28  21:33:24        00:44    0.7    1.7    292036   4612692
   21425   2015-02-28  21:33:24        00:26  417.4    7.6   1279664   6221384
   21345   2015-02-28  21:33:25        00:45    1.2    1.7    292056   4612692
   21425   2015-02-28  21:33:25        00:27  415.6    7.9   1319604   6221384
   21345   2015-02-28  21:33:26        00:46    3.3    1.7    292316   4613728
   21425   2015-02-28  21:33:26        00:28  392.6    8.2   1383792   6221384
   21345   2015-02-28  21:33:27        00:47    0.6    1.7    292324   4613728
   21425   2015-02-28  21:33:27        00:29  416.0    8.7   1458988   6221384
   21345   2015-02-28  21:33:28        00:48    1.0    1.7    292444   4613728
   21425   2015-02-28  21:33:28        00:30  441.0    9.7   1625592   6221384
   21345   2015-02-28  21:33:29        00:49    2.5    1.7    292728   4613728
   21425   2015-02-28  21:33:29        00:31  428.1    9.8   1639756   6220256
   21345   2015-02-28  21:33:30        00:50    0.6    1.7    292740   4613728
   21425   2015-02-28  21:33:30        00:32  405.8   10.3   1719668   6220256
   21345   2015-02-28  21:33:31        00:51    0.5    1.7    292744   4613728
   21425   2015-02-28  21:33:31        00:33  422.7   10.4   1748956   6219016
   21345   2015-02-28  21:33:32        00:52    1.7    1.7    292916   4613728
   21425   2015-02-28  21:33:32        00:34  419.7   10.9   1831148   6219016
   21345   2015-02-28  21:33:33        00:53    0.7    1.7    293052   4613728
   21425   2015-02-28  21:33:33        00:35  442.2   11.4   1909788   6219016
   21345   2015-02-28  21:33:34        00:54    1.0    1.7    293072   4613728
   21425   2015-02-28  21:33:34        00:36  409.4   11.5   1935264   6219016
   21345   2015-02-28  21:33:35        00:55    2.4    1.7    293548   4613728
   21425   2015-02-28  21:33:35        00:37  424.6   11.9   1995808   6221064
   21345   2015-02-28  21:33:36        00:56    0.7    1.7    293556   4613728
   21425   2015-02-28  21:33:36        00:38  406.3   12.3   2070152   6221064
   21345   2015-02-28  21:33:37        00:58    0.6    1.7    293556   4613728
   21425   2015-02-28  21:33:37        00:40  414.7   12.5   2100456   6221064
   21345   2015-02-28  21:33:39        00:59    2.7    1.8    294012   4613728
   21425   2015-02-28  21:33:39        00:41  429.8   12.9   2164400   6221064
   21345   2015-02-28  21:33:40        01:00    0.6    1.8    294012   4613728
   21425   2015-02-28  21:33:40        00:42  519.7   13.4   2242008   6221064
   21345   2015-02-28  21:33:41        01:01    0.7    1.8    294016   4613728
   21425   2015-02-28  21:33:41        00:43  397.5   13.6   2279228   6221064
   21345   2015-02-28  21:33:42        01:02    6.0    1.8    294144   4613728
   21425   2015-02-28  21:33:42        00:44  392.8   13.6   2279280   6221064
   21345   2015-02-28  21:33:43        01:03    2.0    1.8    294180   4613728
   21425   2015-02-28  21:33:43        00:45  412.3   13.6   2279288   6221064
   21345   2015-02-28  21:33:44        01:04    0.9    1.8    294184   4613728
   21425   2015-02-28  21:33:44        00:46  452.6   13.6   2279328   6221064
   21345   2015-02-28  21:33:45        01:05   72.4    1.8    305568   4623580
   21425   2015-02-28  21:33:45        00:47  398.1   13.6   2279356   6221064
   21345   2015-02-28  21:33:46        01:06    3.5    1.8    299628   4616784
   21425   2015-02-28  21:33:46        00:48  425.0   13.6   2279368   6221064
   21345   2015-02-28  21:33:47        01:07    0.6    1.8    299632   4616784
   21425   2015-02-28  21:33:47        00:49  441.2   13.6   2279384   6221064
   21345   2015-02-28  21:33:48        01:08    7.4    1.8    300220   4616784
   21425   2015-02-28  21:33:48        00:50  412.0   13.6   2279412   6221064
   21345   2015-02-28  21:33:49        01:09    0.6    1.8    300220   4616784
   21425   2015-02-28  21:33:49        00:51  432.8   13.6   2279412   6221064
